X,CH1,CH2,
Second,Volt,Volt,
1.45e+00,1.36e+00,1.32e+00,
1.46e+00,1.36e+00,1.34e+00,
1.46e+00,1.60e+00,1.30e+00,
1.46e+00,1.28e+00,1.32e+00,
1.47e+00,1.52e+00,1.38e+00,
1.47e+00,1.68e+00,1.38e+00,
1.48e+00,1.44e+00,1.44e+00,
1.48e+00,1.44e+00,1.40e+00,
1.48e+00,1.04e+00,1.50e+00,
1.49e+00,1.12e+00,1.48e+00,
1.49e+00,1.44e+00,1.38e+00,
1.50e+00,1.20e+00,1.38e+00,
1.50e+00,1.04e+00,1.30e+00,
1.50e+00,1.20e+00,1.30e+00,
1.51e+00,1.52e+00,1.24e+00,
1.51e+00,1.44e+00,1.24e+00,
1.52e+00,1.04e+00,1.28e+00,
1.52e+00,1.20e+00,1.28e+00,
1.52e+00,1.52e+00,1.30e+00,
1.53e+00,1.36e+00,1.28e+00,
1.53e+00,1.12e+00,1.32e+00,
1.54e+00,1.20e+00,1.34e+00,
1.54e+00,1.52e+00,1.28e+00,
1.54e+00,1.52e+00,1.28e+00,
1.55e+00,1.12e+00,1.32e+00,
1.55e+00,1.12e+00,1.34e+00,
1.56e+00,1.60e+00,1.28e+00,
1.56e+00,1.52e+00,1.28e+00,
1.56e+00,1.12e+00,1.34e+00,
1.57e+00,1.04e+00,1.32e+00,
1.57e+00,1.52e+00,1.36e+00,
1.58e+00,1.52e+00,1.32e+00,
1.58e+00,1.20e+00,1.28e+00,
1.58e+00,1.12e+00,1.30e+00,
1.59e+00,1.52e+00,1.32e+00,
1.59e+00,1.52e+00,1.30e+00,
1.60e+00,1.12e+00,1.34e+00,
1.60e+00,1.04e+00,1.34e+00,
1.60e+00,1.44e+00,1.36e+00,
1.61e+00,1.52e+00,1.34e+00,
1.61e+00,1.20e+00,1.28e+00,
1.62e+00,1.20e+00,1.28e+00,
1.62e+00,1.44e+00,1.34e+00,
1.62e+00,1.52e+00,1.34e+00,
1.63e+00,1.28e+00,1.30e+00,
1.63e+00,1.20e+00,1.32e+00,
1.64e+00,1.52e+00,1.36e+00,
1.64e+00,1.60e+00,1.34e+00,
1.64e+00,1.36e+00,1.36e+00,
1.65e+00,1.36e+00,1.36e+00,
1.65e+00,1.20e+00,1.40e+00,
1.66e+00,1.36e+00,1.38e+00,
1.66e+00,1.52e+00,1.34e+00,
1.66e+00,1.36e+00,1.34e+00,
1.67e+00,1.20e+00,1.38e+00,
1.67e+00,1.36e+00,1.36e+00,
1.68e+00,1.60e+00,1.38e+00,
1.68e+00,1.36e+00,1.36e+00,
1.68e+00,1.20e+00,1.44e+00,
1.69e+00,1.28e+00,1.44e+00,
1.69e+00,1.60e+00,1.38e+00,
1.70e+00,1.52e+00,1.38e+00,
1.70e+00,1.28e+00,1.44e+00,
1.70e+00,1.36e+00,1.44e+00,
1.71e+00,1.52e+00,1.40e+00,
1.71e+00,1.52e+00,1.40e+00,
1.72e+00,1.20e+00,1.44e+00,
1.72e+00,1.20e+00,1.44e+00,
1.72e+00,1.60e+00,1.38e+00,
1.73e+00,1.52e+00,1.36e+00,
1.73e+00,1.20e+00,1.44e+00,
1.74e+00,1.20e+00,1.44e+00,
1.74e+00,1.60e+00,1.38e+00,
1.74e+00,1.60e+00,1.38e+00,
1.75e+00,1.20e+00,1.36e+00,
1.75e+00,1.20e+00,1.36e+00,
1.76e+00,1.44e+00,1.40e+00,
1.76e+00,1.44e+00,1.36e+00,
1.76e+00,1.20e+00,1.32e+00,
1.77e+00,1.20e+00,1.34e+00,
1.77e+00,1.52e+00,1.28e+00,
1.78e+00,1.60e+00,1.32e+00,
1.78e+00,1.12e+00,1.28e+00,
1.78e+00,1.04e+00,1.32e+00,
1.79e+00,1.36e+00,1.34e+00,
1.79e+00,1.52e+00,1.34e+00,
1.80e+00,1.12e+00,1.28e+00,
1.80e+00,1.04e+00,1.28e+00,
1.80e+00,1.44e+00,1.30e+00,
1.81e+00,1.52e+00,1.28e+00,
1.81e+00,1.20e+00,1.24e+00,
1.82e+00,1.04e+00,1.24e+00,
1.82e+00,1.36e+00,1.28e+00,
1.82e+00,1.52e+00,1.28e+00,
1.83e+00,1.20e+00,1.26e+00,
1.83e+00,1.04e+00,1.26e+00,
1.84e+00,1.28e+00,1.30e+00,
1.84e+00,1.28e+00,1.30e+00,
1.84e+00,1.52e+00,1.26e+00,
1.85e+00,1.28e+00,1.26e+00,
1.85e+00,1.04e+00,1.30e+00,
1.86e+00,1.28e+00,1.30e+00,
1.86e+00,1.60e+00,1.26e+00,
1.86e+00,1.36e+00,1.26e+00,
1.87e+00,1.04e+00,1.32e+00,
1.87e+00,1.20e+00,1.32e+00,
1.88e+00,1.52e+00,1.28e+00,
1.88e+00,1.36e+00,1.28e+00,
1.88e+00,1.04e+00,1.32e+00,
1.89e+00,1.20e+00,1.32e+00,
1.89e+00,1.44e+00,1.26e+00,
1.90e+00,1.36e+00,1.28e+00,
1.90e+00,1.04e+00,1.24e+00,
1.90e+00,1.04e+00,1.28e+00,
1.91e+00,1.52e+00,1.26e+00,
1.91e+00,1.52e+00,1.26e+00,
1.92e+00,1.12e+00,1.28e+00,
1.92e+00,1.12e+00,1.26e+00,
1.92e+00,1.52e+00,1.30e+00,
1.93e+00,1.52e+00,1.30e+00,
1.93e+00,1.12e+00,1.28e+00,
1.94e+00,1.12e+00,1.34e+00,
1.94e+00,1.52e+00,1.28e+00,
1.94e+00,1.52e+00,1.28e+00,
1.95e+00,1.12e+00,1.30e+00,
1.95e+00,1.12e+00,1.30e+00,
1.96e+00,1.36e+00,1.32e+00,
1.96e+00,1.52e+00,1.30e+00,
1.96e+00,1.12e+00,1.28e+00,
1.97e+00,1.04e+00,1.28e+00,
1.97e+00,1.36e+00,1.32e+00,
1.98e+00,1.52e+00,1.30e+00,
1.98e+00,1.12e+00,1.26e+00,
1.98e+00,1.04e+00,1.26e+00,
1.99e+00,1.36e+00,1.28e+00,
1.99e+00,1.44e+00,1.26e+00,
2.00e+00,1.20e+00,1.24e+00,
2.00e+00,1.12e+00,1.24e+00,
2.00e+00,1.36e+00,1.28e+00,
2.01e+00,1.52e+00,1.28e+00,
2.01e+00,1.20e+00,1.26e+00,
2.02e+00,1.04e+00,1.26e+00,
2.02e+00,1.28e+00,1.32e+00,
2.02e+00,1.28e+00,1.32e+00,
