X,CH1,CH2,
Second,Volt,Volt,
1.79e+00,-6.96e-01,-5.84e-01,
1.79e+00,-6.32e-01,-5.76e-01,
1.80e+00,-4.80e-01,-6.00e-01,
1.80e+00,-5.20e-01,-5.92e-01,
1.80e+00,-6.32e-01,-5.68e-01,
1.81e+00,-6.08e-01,-5.84e-01,
1.81e+00,-4.64e-01,-5.52e-01,
1.82e+00,-4.64e-01,-5.76e-01,
1.82e+00,-6.48e-01,-5.44e-01,
1.82e+00,-6.08e-01,-5.60e-01,
1.83e+00,-4.40e-01,-5.28e-01,
1.83e+00,-4.40e-01,-5.52e-01,
1.84e+00,-5.92e-01,-5.20e-01,
1.84e+00,-5.84e-01,-5.36e-01,
1.84e+00,-3.92e-01,-4.96e-01,
1.85e+00,-4.08e-01,-5.04e-01,
1.85e+00,-5.36e-01,-4.72e-01,
1.86e+00,-5.44e-01,-4.96e-01,
1.86e+00,-3.92e-01,-4.64e-01,
1.86e+00,-3.60e-01,-4.64e-01,
1.87e+00,-5.20e-01,-4.56e-01,
1.87e+00,-5.28e-01,-4.64e-01,
1.88e+00,-4.00e-01,-4.40e-01,
1.88e+00,-3.60e-01,-4.32e-01,
1.88e+00,-4.96e-01,-4.56e-01,
1.89e+00,-5.28e-01,-4.40e-01,
1.89e+00,-4.32e-01,-4.24e-01,
1.90e+00,-3.76e-01,-4.16e-01,
1.90e+00,-5.44e-01,-4.48e-01,
1.90e+00,-6.08e-01,-4.32e-01,
1.91e+00,-4.96e-01,-4.64e-01,
1.91e+00,-4.64e-01,-4.48e-01,
1.92e+00,-5.84e-01,-4.88e-01,
1.92e+00,-5.92e-01,-4.72e-01,
1.92e+00,-6.80e-01,-5.12e-01,
1.93e+00,-5.28e-01,-4.96e-01,
1.93e+00,-6.16e-01,-5.52e-01,
1.94e+00,-6.16e-01,-5.36e-01,
1.94e+00,-7.04e-01,-5.76e-01,
1.94e+00,-6.40e-01,-5.60e-01,
1.95e+00,-5.60e-01,-6.00e-01,
1.95e+00,-6.32e-01,-5.92e-01,
1.96e+00,-7.44e-01,-6.16e-01,
1.96e+00,-6.48e-01,-6.00e-01,
1.96e+00,-5.60e-01,-6.32e-01,
1.97e+00,-6.16e-01,-6.16e-01,
1.97e+00,-7.36e-01,-6.40e-01,
1.98e+00,-6.96e-01,-6.16e-01,
1.98e+00,-5.76e-01,-6.40e-01,
1.98e+00,-6.08e-01,-6.48e-01,
1.99e+00,-7.44e-01,-6.24e-01,
1.99e+00,-7.28e-01,-6.24e-01,
